254     12      1      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      6    875  16824  99999  99999    300    154
      6    856  16966  99999  99999    290    144
      6    813  17300  99999  99999    265    195
      6    766  17685  99999  99999    285    226
      7    751  17813   -539   -909    290    226
      6    716  18123  99999  99999    275    221
      4    700  18270   -533   -903    280    216
      6    678  18476  99999  99999    290    169
      5    643  18817   -519   -889  99999  99999
      6    603  19231  99999  99999    280     97
      6    583  19448  99999  99999    270    123
      5    577  19512   -551   -911  99999  99999
      6    559  19717  99999  99999    290    211
      6    509  20324  99999  99999    310    154
      5    501  20421   -503   -883  99999  99999
      4    500  20440   -503   -883    300    138
      6    454  21054  99999  99999    250    195
      6    419  21564  99999  99999    240    144
      6    395  21939  99999  99999    280     97
      6    385  22102  99999  99999    280     72
      6    373  22303  99999  99999    295     82
      6    359  22546  99999  99999    265    108
      5    335  22992   -595   -945  99999  99999
      6    327  23144  99999  99999    275    138
      4    300  23690   -583   -933    235    123
      6    297  99999  99999  99999    235    133
      6    282  99999  99999  99999    265    180
      6    269  99999  99999  99999    255    133
      5    263  24521   -557   -917  99999  99999
      6    255  99999  99999  99999    285    113
      5    237  25177   -593   -943    275    118
    254     12      4      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      2    300   2180   2770     90  99999      3
      3          EFSO                99999     ms
      9   9760    178     18     15    195      5
      4  10000    -17  99999  99999  99999  99999
      6   9630    286  99999  99999    255     51
      5   9590    319     22     20  99999  99999
      6   9280    586  99999  99999    275    108
      4   9250    613     10     10    275    108
      6   9080    761  99999  99999    270    123
      6   8620   1176  99999  99999    285    113
      4   8500   1289    -27    -30    285    128
      6   8420   1362  99999  99999    290    138
      5   8220   1553    -35    -40  99999  99999
      6   8000   1764  99999  99999    295    108
      5   7810   1954    -63    -63    280    123
      4   7000   2806   -115   -124    270    138
      5   6890   2927   -123   -135  99999  99999
      5   6390   3496   -171   -199    255    144
      6   6000   3956  99999  99999    265    133
      6   5800   4204  99999  99999    275    113
      5   5330   4826   -275   -275  99999  99999
      6   5300   4866  99999  99999    260    108
      5   5070   5182   -305   -329  99999  99999
      5   5030   5238   -311   -401  99999  99999
      4   5000   5290   -315   -385    265    118
      5   4970   5332   -319   -379  99999  99999
      5   4870   5476   -333   -423  99999  99999
      6   4640   5808  99999  99999    275    123
      5   4520   5994   -363   -543  99999  99999
      6   4450   6100  99999  99999    265    180
      5   4020   6797   -411   -601  99999  99999
      4   4000   6830   -411   -601    270    272
      6   3520   7692  99999  99999    265    437
      5   3330   8066   -435   -645  99999  99999
      6   3190   8355  99999  99999    265    468
      4   3000   8770   -461   -701    265    463
      6   2800   9227  99999  99999    265    489
      7   2770   9296   -483   -733    265    483
      5   2570   9790   -469   -749  99999  99999
      4   2500   9980   -473   -763    270    380
      6   2180  10882  99999  99999    285    324
      4   2000  11450   -483   -763    280    277
      6   1960  11582  99999  99999    275    277
      6   1900  11786  99999  99999    290    288
      6   1770  12251  99999  99999    285    221
      5   1760  12290   -477   -767  99999  99999
      6   1730  12402  99999  99999    280    205
      6   1660  12673  99999  99999    265    216
      6   1540  13166  99999  99999    280    231
      4   1500  13340   -503   -843    280    236
      6   1350  14020  99999  99999    270    298
      5   1320  14166   -533   -823  99999  99999
      6   1260  14466  99999  99999    295    211
      6   1150  15056  99999  99999    280    262
      6   1120  15226  99999  99999    290    288
      4   1000  15960   -519   -879    295    205
      6    960  16223  99999  99999    300    190
      6    938  16372  99999  99999    285    159
      6    881  16776  99999  99999    270    180
      6    826  17191  99999  99999    285    190
      6    773  17619  99999  99999    275    231
      4    700  18260   -547   -907    290    195
      6    696  18296  99999  99999    295    190
      6    562  19669  99999  99999    285    138
      6    546  19854  99999  99999    265     97
      6    533  20008  99999  99999    250    133
      4    500  20420   -557   -917    265    221
      5    491  20535   -559   -919  99999  99999
      6    490  20548  99999  99999    270    236
      6    474  20759  99999  99999    280    211
      6    452  21062  99999  99999    265    154
      6    405  21763  99999  99999    290    185
      5    390  22001   -545   -905  99999  99999
      6    388  22033  99999  99999    275    149
      6    372  22302  99999  99999    260    169
      5    362  22473   -583   -933  99999  99999
      6    334  22990  99999  99999    285    190
      5    322  23217   -529   -899  99999  99999
      6    318  23298  99999  99999    265    113
      4    300  23680   -561   -921    250    128
      6    289  99999  99999  99999    245    133
      6    273  99999  99999  99999    270    123
      5    270  24343   -593   -943  99999  99999
      6    258  99999  99999  99999    260    108
      6    237  99999  99999  99999    250    149
      6    230  99999  99999  99999    265    205
      5    221  25608   -545   -905  99999  99999
      5    210  25932   -567   -917    280    185
    254      0      5      OCT    2015
      1  99999   2836  67.37N 26.65E   178   2330
      2    300   3180   1600     78  99999      3
      3          EFSO                99999     ms
      9   9900    178    -15    -24      5     15
      4  10000     97  99999  99999  99999  99999
      6   9790    266  99999  99999    325     51
      6   9410    579  99999  99999      0    138
      5   9400    589    -17    -48  99999  99999
      4   9250    716    -27    -57      5    123
      6   9080    861  99999  99999      5    113
      5   8900   1019    -53    -68  99999  99999
      6   8720   1179  99999  99999      0    118
      4   8500   1380    -73   -114    355    123
      6   8000   1843  99999  99999    350    144
      5   7820   2022   -113   -203  99999  99999
      6   7400   2442  99999  99999    350    123
