 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      4   2500  10110   -521   -671    225    113
      5   2300  10651  99999  99999    230     62
      5   2200  10940  99999  99999    250    139
      5   2130  11150  99999  99999    270    103
      5   2030  11463  99999  99999    260    123
      4   2000  11560   -497   -817    265    118
      5   1930  11794  99999  99999    280     87
      5   1830  12143  99999  99999    265     93
      5   1700  12627  99999  99999    295     87
      5   1590  13066  99999  99999    250    118
      5   1560  13188   -477   -847  99999  99999
      5   1520  13361  99999  99999    275    103
      4   1500  13450   -479   -849    275     98
      5   1430  13761  99999  99999    270     72
      5   1370  14040  99999  99999    310     67
      5   1330  14232  99999  99999    290     51
      5   1300  14380  99999  99999    260     72
      5   1220  14793  99999  99999    280    123
      5   1150  15178  99999  99999    275     77
      5   1110  15409  99999  99999    290    113
      5   1070  15648  99999  99999    270     82
      5   1040  15833  99999  99999    275     98
      4   1000  16090   -521   -881    240     98
      5    974  16259  99999  99999    250    118
      5    928  16571  99999  99999    300     82
      5    891  16833  99999  99999    265     77
      5    836  17244  99999  99999    290     62
      5    803  17503  99999  99999    250     98
      5    751  17935  99999  99999    280     46
      5    707  18326  99999  99999    285    123
      4    700  18390   -529   -889    285    123
      5    695  18436  99999  99999    290    123
      5    675  18623  99999  99999    285     77
      5    654  18826  99999  99999    255     46
      5    601  19367  99999  99999    255     98
      5    585  19540  99999  99999    245    123
      5    576  19639  99999  99999    250    134
      5    538  20078  99999  99999    290     87
      5    525  20235  99999  99999    280     51
      5    518  20321  99999  99999    260     41
      5    507  20459  99999  99999    240     51
      4    500  20550   -553   -903    240     62
      5    488  20704  99999  99999    240     62
      5    454  21163  99999  99999    270     87
      5    419  21673  99999  99999    275     67
      5    388  22162  99999  99999    240    103
      5    379  22311  99999  99999    255    113
      5    368  22498  99999  99999    285    108
      5    353  22763  99999  99999    275     62
      5    345  22909  99999  99999    270     77
      5    325  23274   -579   -919  99999  99999
      5    320  23376  99999  99999    295    129
      5    316  23457  99999  99999    305    118
      5    303  23734  99999  99999    285     77
      4    300  23800   -561   -901    295     87
      5    295  23906  99999  99999    310     93
      5    291  23993   -559   -909  99999  99999
      5    288  24058  99999  99999    320     57
      5    274  24373  99999  99999    245     21
      5    266  24559   -585   -915  99999  99999
